Station ID, Station Name, First Year,  Last Year,  Year Range,  % Complete, MSL Trends (mm/yr), +/- 95% CI (mm/yr), MSL Trends (ft/century), +/- 95% CI (ft/century), Latitude, Longitude
010-001,"Reykjavik, Iceland",1956,2011,56,0,2.33,0.50,0.77,0.16,64.1500,-21.9333
015-011,"Torshavn, Denmark",1957,2006,50,0,1.81,0.41,0.59,0.13,62.0167,-6.7667
025-001,"Barentsburg, Norway",1948,2010,63,93,-2.25,0.42,-0.74,0.14,78.0667,14.2500
030-003,"Russkaya Gavan II, Russia",1953,1993,41,98,-0.54,1.07,-0.18,0.35,76.2000,62.5833
030-018,"Murmansk, Russia",1952,2010,59,98,3.17,0.94,1.04,0.31,68.9667,33.0500
030-345,"Dikson, Russia",1950,1997,48,97,2.05,1.38,0.67,0.45,73.5000,80.4000
030-447,"Tiksi, Russia",1949,2009,61,100,1.56,0.72,0.51,0.24,71.5833,128.9167
030-725,"Providenia, Russia",1951,1983,33,97,3.30,1.29,1.08,0.42,64.4167,-173.2333
040-001,"Vardo, Norway",1947,2011,65,65,-0.32,0.51,-0.10,0.17,70.3333,31.1000
040-015,"Honningsvag, Norway",1970,2011,42,94,1.45,0.97,0.48,0.32,70.9833,25.9833
040-041,"Andenes, Norway",1938,2011,74,60,-0.93,0.50,-0.31,0.16,69.3167,16.1500
040-081,"Narvik, Norway",1928,2011,84,88,-2.06,0.48,-0.68,0.16,68.4333,17.4167
040-136,"Rorvik, Norway",1969,2011,43,97,-0.90,0.91,-0.30,0.30,64.8667,11.2500
040-151,"Heimsjo, Norway",1928,2011,84,96,-1.46,0.31,-0.48,0.10,63.4333,9.1167
040-211,"Maloy, Norway",1943,2011,69,93,0.59,0.40,0.19,0.13,61.9333,5.1167
040-221,"Bergen, Norway",1883,2011,129,76,-0.52,0.20,-0.17,0.07,60.4000,5.3000
040-261,"Stavanger, Norway",1919,2011,93,90,0.42,0.22,0.14,0.07,58.9667,5.7333
040-301,"Tregde, Norway",1927,2011,85,96,0.26,0.20,0.09,0.07,58.0000,7.5667
040-321,"Oslo, Norway",1885,2011,127,77,-3.17,0.30,-1.04,0.10,59.9000,10.7500
050-011,"Smogen, Sweden",1911,2011,101,100,-1.85,0.26,-0.61,0.08,58.3667,11.2167
050-051,"Klagshamn, Sweden",1929,2011,83,99,0.64,0.40,0.21,0.13,55.5167,12.9000
050-081,"Kungholmsfort, Sweden",1887,2011,125,100,0.02,0.25,0.01,0.08,56.1000,15.5833
050-123,"Landsort Norra & Landsort, Sweden",1887,2010,124,100,-2.84,0.31,-0.93,0.10,58.7667,17.8667
050-141,"Stockholm, Sweden",1889,2011,123,100,-3.81,0.32,-1.25,0.10,59.3167,18.0833
050-191,"Ratan, Sweden",1892,2011,120,100,-7.75,0.39,-2.54,0.13,64.0000,20.9167
050-201,"Furuogrund, Sweden",1916,2011,96,100,-8.10,0.57,-2.66,0.19,64.9167,21.2333
060-001,"Kemi, Finland",1920,2010,91,96,-6.99,0.63,-2.29,0.21,65.6667,24.5167
060-011,"Oulu/Uleaborg, Finland",1889,2010,122,95,-6.38,0.41,-2.09,0.14,65.0333,25.4167
060-021,"Raahe/Brahestad, Finland",1922,2010,89,92,-6.85,0.66,-2.25,0.22,64.6667,24.4000
060-041,"Pietarsaari/Jakobstad, Finland",1914,2010,97,98,-7.29,0.57,-2.39,0.19,63.7000,22.7000
060-051,"Vaasa/Vasa, Finland",1883,2010,128,92,-7.33,0.34,-2.40,0.11,63.0833,21.5667
060-071,"Kaskinen/Kasko, Finland",1926,2010,85,97,-6.50,0.68,-2.13,0.22,62.3500,21.2167
060-101,"Mantyluoto, Finland",1910,2010,101,98,-5.91,0.50,-1.94,0.16,61.6000,21.4667
060-241,"Turku/Abo, Finland",1922,2010,89,98,-3.67,0.61,-1.20,0.20,60.4333,22.1000
060-281,"Degerby, Finland",1923,2010,88,94,-3.75,0.59,-1.23,0.20,60.0333,20.3833
060-331,"Hanko/Hango, Finland",1887,2010,124,100,-2.67,0.37,-0.88,0.12,60.1000,23.5500
060-351,"Helsinki, Finland",1879,2010,132,100,-2.33,0.34,-0.76,0.11,60.1500,24.9667
060-361,"Hamina, Finland",1928,2010,83,98,-1.03,0.79,-0.34,0.26,60.5667,27.1833
